	reactome-id	wp-id
380	R-HSA-75893	WP3380
381	R-HSA-5357956	
382	R-HSA-5357905	
383	R-HSA-5357786	
384	R-HSA-5626978	
385	R-HSA-75158	
386	R-HSA-186797	WP1916
387	R-HSA-186763	
388	R-HSA-1227986	WP2780
389	R-HSA-1963642	
390	R-HSA-1306955	
391	R-HSA-6785631	
392	R-HSA-8863795	
393	R-HSA-1358803	
394	R-HSA-1963640	
395	R-HSA-1251932	
396	R-HSA-1250196	
397	R-HSA-201451	WP2760
398	R-HSA-2187338	WP2776
399	R-HSA-2453902	
400	R-HSA-2466712	
401	R-HSA-2466712	
402	R-HSA-2514856	
403	R-HSA-2514859	
404	R-HSA-2485179	
405	R-HSA-975634	WP3839
406	R-HSA-975634	WP3839
407	R-HSA-2187335	
408	R-HSA-6806834	
409	R-HSA-8851805	
410	R-HSA-8851907	
411	R-HSA-8875878	
412	R-HSA-8874081	
413	R-HSA-8875513	
414	R-HSA-8875555	
415	R-HSA-8865999	
416	R-HSA-8875656	
417	R-HSA-6806942	
418	R-HSA-6807004	
419	R-HSA-8875791	
420	R-HSA-166520	WP1976
421	R-HSA-193704	
422	R-HSA-204998	
423	R-HSA-205043	
424	R-HSA-205025	
425	R-HSA-193648	
426	R-HSA-193639	
427	R-HSA-209543	
428	R-HSA-209560	
429	R-HSA-193681	
430	R-HSA-193697	
431	R-HSA-193634	
432	R-HSA-209563	
433	R-HSA-193692	
434	R-HSA-205017	
435	R-HSA-193670	
436	R-HSA-187037	WP1873
437	R-HSA-198745	
438	R-HSA-198203	
439	R-HSA-187687	
440	R-HSA-187706	
441	R-HSA-169893	
442	R-HSA-170984	
443	R-HSA-170968	
444	R-HSA-167044	
445	R-HSA-197529	
446	R-HSA-171007	
447	R-HSA-177504	
448	R-HSA-187015	
449	R-HSA-187024	
450	R-HSA-187042	
451	R-HSA-167021	
452	R-HSA-198725	
453	R-HSA-198753	
454	R-HSA-198753	
455	R-HSA-198753	
456	R-HSA-198753	
457	R-HSA-198753	
458	R-HSA-198753	
459	R-HSA-198753	
460	R-HSA-198753	
461	R-HSA-198753	
462	R-HSA-198753	
463	R-HSA-202670	
464	R-HSA-202670	
465	R-HSA-202670	
466	R-HSA-202670	
467	R-HSA-202670	
468	R-HSA-202670	
469	R-HSA-202670	
470	R-HSA-202670	
471	R-HSA-202670	
472	R-HSA-202670	
473	R-HSA-199920	
474	R-HSA-199920	
475	R-HSA-199920	
476	R-HSA-199920	
477	R-HSA-199920	
478	R-HSA-199920	
479	R-HSA-199920	
480	R-HSA-199920	
481	R-HSA-199920	
482	R-HSA-199920	
483	R-HSA-198765	
484	R-HSA-167060	
485	R-HSA-5362517	WP3323
486	R-HSA-5365859	
487	R-HSA-2404192	WP2677
488	R-HSA-2428924	
489	R-HSA-2428928	
490	R-HSA-112399	
491	R-HSA-112399	
492	R-HSA-109704	
493	R-HSA-109704	
494	R-HSA-109703	
495	R-HSA-109703	
496	R-HSA-165160	
497	R-HSA-165160	
498	R-HSA-165159	WP3318
499	R-HSA-165159	WP3318
500	R-HSA-165181	
501	R-HSA-165181	
502	R-HSA-380972	WP2748
503	R-HSA-380972	WP2748
504	R-HSA-166208	
505	R-HSA-166208	
506	R-HSA-165158	
507	R-HSA-165158	
508	R-HSA-112412	
509	R-HSA-112412	
510	R-HSA-2428933	
511	R-HSA-74752	WP1913
512	R-HSA-77387	
513	R-HSA-74751	
514	R-HSA-74713	
515	R-HSA-74749	
516	R-HSA-5683057	
517	R-HSA-5687128	
518	R-HSA-5684996	
519	R-HSA-112409	
520	R-HSA-110056	
521	R-HSA-112411	
522	R-HSA-1236394	WP2781
523	R-HSA-1250342	
524	R-HSA-1250347	
525	R-HSA-1251985	
526	R-HSA-1170546	WP2678
527	R-HSA-1170546	WP2678
528	R-HSA-1253288	
529	R-HSA-194138	WP1919
530	R-HSA-194306	
531	R-HSA-194313	
532	R-HSA-195399	
533	R-HSA-4420097	
534	R-HSA-5218921	
535	R-HSA-5218920	
536	R-HSA-190236	
537	R-HSA-5654738	WP3338
538	R-HSA-190241	
539	R-HSA-190375	
540	R-HSA-190377	
541	R-HSA-6803529	
542	R-HSA-5654696	
543	R-HSA-5654699	
544	R-HSA-5654695	
545	R-HSA-5654221	
546	R-HSA-5654700	
547	R-HSA-5654727	
548	R-HSA-1295596	
549	R-HSA-1295596	
550	R-HSA-1295596	
551	R-HSA-1295596	
552	R-HSA-5654741	WP3336
553	R-HSA-5654732	
554	R-HSA-5654708	
555	R-HSA-5654227	
556	R-HSA-5654710	
557	R-HSA-5654704	
558	R-HSA-5654706	
559	R-HSA-190239	
560	R-HSA-190372	
561	R-HSA-190371	
562	R-HSA-5654736	WP3335
563	R-HSA-190242	
564	R-HSA-190373	
565	R-HSA-190374	
566	R-HSA-190370	
567	R-HSA-5654687	
568	R-HSA-5654688	
569	R-HSA-5654689	
570	R-HSA-5654219	
